               shop_ref               |     d      |    type    | direction | cnt  | amount_minor 
--------------------------------------+------------+------------+-----------+------+--------------
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-01 | bonus      | in        | 1060 |     21680768
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-01 | bonus      | out       |    4 |        93667
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-01 | commission | in        |    2 |        67640
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-01 | commission | out       |  583 |     16014345
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-01 | fee        | in        |   32 |        18612
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-01 | fee        | out       | 1948 |      5983728
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-01 | other      | out       |   92 |      8723240
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-01 | refund     | out       |    2 |       178000
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-01 | sale       | in        |  583 |     40271800
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-02 | bonus      | in        | 1184 |     24302000
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-02 | bonus      | out       |    2 |        69514
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-02 | commission | in        |    1 |        61512
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-02 | commission | out       |  640 |     18239082
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-02 | fee        | in        |   29 |        18421
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-02 | fee        | out       | 2081 |      6426204
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-02 | other      | in        |    1 |        42669
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-02 | other      | out       |  107 |      9329736
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-02 | refund     | out       |    1 |       139800
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-02 | sale       | in        |  640 |     45293400
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-03 | bonus      | in        | 1371 |     29006420
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-03 | bonus      | out       |    8 |       246350
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-03 | commission | in        |    4 |       214892
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-03 | commission | out       |  754 |     21492388
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-03 | fee        | in        |   28 |        16474
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-03 | fee        | out       | 2499 |      7837514
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-03 | other      | out       |  101 |      8816528
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-03 | refund     | out       |    4 |       492700
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-03 | sale       | in        |  754 |     52882900
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-04 | bonus      | in        | 1200 |     23215111
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-04 | bonus      | out       |    4 |        97661
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-04 | commission | in        |    2 |        67152
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-04 | commission | out       |  662 |     16964007
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-04 | fee        | in        |   26 |        23643
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-04 | fee        | out       | 2313 |      6197334
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-04 | other      | out       |   96 |     11382808
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-04 | refund     | out       |    2 |       168900
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-04 | sale       | in        |  662 |     42697600
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-05 | bonus      | in        | 1182 |     24274993
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-05 | bonus      | out       |    4 |        73567
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-05 | commission | in        |    2 |        56764
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-05 | commission | out       |  653 |     17787488
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-05 | fee        | in        |   16 |         8264
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-05 | fee        | out       | 2337 |      6422295
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-05 | other      | out       |   96 |     13823986
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-05 | refund     | out       |    2 |       140300
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-05 | sale       | in        |  653 |     44409800
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-06 | bonus      | in        | 1592 |     32131920
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-06 | commission | out       |  883 |     23185090
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-06 | fee        | in        |   19 |         9920
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-06 | fee        | out       | 2864 |      8492907
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-06 | other      | out       |  102 |     13957789
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-06 | sale       | in        |  883 |     58041500
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-07 | bonus      | in        | 1722 |     35454320
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-07 | bonus      | out       |    6 |       100180
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-07 | commission | in        |    3 |        70095
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-07 | commission | out       |  933 |     25045764
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-07 | fee        | in        |   16 |         9723
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-07 | fee        | out       | 2915 |      8935051
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-07 | other      | out       |  106 |     10873943
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-07 | refund     | out       |    3 |       169100
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-07 | sale       | in        |  933 |     62480500
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-08 | bonus      | in        | 1730 |     36285730
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-08 | bonus      | out       |    8 |       125601
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-08 | commission | in        |    4 |        86175
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-08 | commission | out       |  953 |     25622871
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-08 | fee        | in        |   29 |        16091
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-08 | fee        | out       | 2965 |      9040532
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-08 | other      | out       |   93 |      9594283
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-08 | refund     | out       |    4 |       219500
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-08 | sale       | in        |  953 |     63898000
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-09 | bonus      | in        | 1701 |     36489983
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-09 | bonus      | out       |    6 |       188833
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-09 | commission | in        |    3 |       140881
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-09 | commission | out       |  942 |     25560033
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-09 | fee        | in        |   20 |         7694
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-09 | fee        | out       | 2886 |      9091794
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-09 | other      | out       |  112 |      9781376
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-09 | refund     | out       |    3 |       323500
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-09 | sale       | in        |  942 |     63328300
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-10 | bonus      | in        | 1731 |     38166284
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-10 | bonus      | out       |    4 |       138336
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-10 | commission | in        |    2 |       108630
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-10 | commission | out       |  952 |     26862544
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-10 | fee        | in        |   26 |        13849
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-10 | fee        | out       | 3031 |      9555218
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-10 | other      | out       |  126 |      8091376
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-10 | refund     | out       |    2 |       241400
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-10 | sale       | in        |  952 |     66485600
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-11 | bonus      | in        | 1502 |     31638577
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-11 | bonus      | out       |    2 |        39157
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-11 | commission | in        |    1 |        28035
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-11 | commission | out       |  810 |     22580784
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-11 | fee        | in        |   24 |        12272
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-11 | fee        | out       | 2552 |      8089215
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-11 | other      | out       |   94 |     10054679
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-11 | refund     | out       |    1 |        62300
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-11 | sale       | in        |  810 |     55443500
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-12 | bonus      | in        | 1465 |     31429605
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-12 | commission | out       |  806 |     23139116
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-12 | fee        | in        |   18 |         7624
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-12 | fee        | out       | 2453 |      8095793
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-12 | other      | out       |   95 |      6952859
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-12 | sale       | in        |  806 |     56629800
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-13 | bonus      | in        | 1569 |     30931447
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-13 | bonus      | out       |    7 |        77070
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-13 | commission | in        |    4 |        51410
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-13 | commission | out       |  878 |     22908324
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-13 | fee        | in        |   31 |        20138
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-13 | fee        | out       | 2674 |      8947281
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-13 | other      | out       |   87 |      6422809
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-13 | refund     | out       |    4 |       159800
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-13 | sale       | in        |  878 |     57075100
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-14 | bonus      | in        | 1383 |     25366219
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-14 | commission | out       |  749 |     18844574
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-14 | fee        | in        |   15 |         8297
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-14 | fee        | out       | 2306 |      7134678
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-14 | other      | out       |   92 |      5744715
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-14 | sale       | in        |  749 |     46895700
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-15 | bonus      | in        | 1371 |     24596487
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-15 | commission | out       |  749 |     19167245
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-15 | fee        | in        |   17 |         9260
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-15 | fee        | out       | 2316 |      7007287
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-15 | other      | out       |  141 |      8344232
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-15 | sale       | in        |  749 |     47444400
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-16 | bonus      | in        | 1187 |     21356902
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-16 | bonus      | out       |    6 |        73498
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-16 | commission | in        |    3 |        58450
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-16 | commission | out       |  656 |     16712718
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-16 | fee        | in        |   11 |         6694
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-16 | fee        | out       | 2012 |      6093916
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-16 | other      | out       |  100 |      7523199
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-16 | refund     | out       |    3 |       152500
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-16 | sale       | in        |  656 |     41302800
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-17 | bonus      | in        | 1181 |     19886370
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-17 | bonus      | out       |    2 |        55505
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-17 | commission | in        |    1 |        40016
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-17 | commission | out       |  644 |     15619499
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-17 | fee        | in        |   17 |        12398
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-17 | fee        | out       | 1936 |      5848245
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-17 | other      | out       |  117 |      5550326
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-17 | refund     | out       |    1 |        97600
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-17 | sale       | in        |  644 |     39174700
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-18 | bonus      | in        |  813 |     15014056
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-18 | bonus      | out       |    3 |        70117
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-18 | commission | in        |    2 |        49752
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-18 | commission | out       |  446 |     12092586
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-18 | fee        | in        |   18 |         7462
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-18 | fee        | out       | 1417 |      4271170
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-18 | other      | out       |   95 |      4960511
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-18 | refund     | out       |    2 |       136200
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-18 | sale       | in        |  446 |     29993400
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-19 | bonus      | in        |  913 |     18119411
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-19 | commission | out       |  501 |     14588659
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-19 | fee        | in        |   14 |         6024
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-19 | fee        | out       | 1511 |      4777392
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-19 | other      | out       |   95 |      6060167
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-19 | sale       | in        |  501 |     35963400
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-20 | bonus      | in        |  897 |     17568444
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-20 | bonus      | out       |    2 |         8122
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-20 | commission | in        |    1 |         5900
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-20 | commission | out       |  505 |     14502644
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-20 | fee        | in        |   12 |         7008
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-20 | fee        | out       | 1585 |      4946189
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-20 | other      | out       |   84 |      5560512
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-20 | refund     | out       |    1 |        29500
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-20 | sale       | in        |  505 |     35581088
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-21 | bonus      | in        |  821 |     16124065
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-21 | bonus      | out       |    6 |       105257
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-21 | commission | in        |    3 |        80672
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-21 | commission | out       |  453 |     13336378
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-21 | fee        | in        |    8 |         5096
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-21 | fee        | out       | 1396 |      4359375
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-21 | other      | out       |   75 |      3911654
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-21 | refund     | out       |    3 |       200000
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-21 | sale       | in        |  453 |     32669900
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-22 | bonus      | in        |  763 |     14299094
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-22 | bonus      | out       |   22 |       226872
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-22 | commission | in        |   11 |       178535
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-22 | commission | out       |  415 |     12368247
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-22 | fee        | in        |   24 |        14839
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-22 | fee        | out       | 1314 |      4250905
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-22 | other      | out       |   74 |      3801740
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-22 | refund     | out       |   11 |       477300
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-22 | sale       | in        |  415 |     30235500
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-23 | bonus      | in        |  676 |     13416730
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-23 | bonus      | out       |    4 |        54600
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-23 | commission | in        |    2 |        57564
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-23 | commission | out       |  366 |     11638354
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-23 | fee        | in        |   11 |         8451
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-23 | fee        | out       | 1159 |      3586624
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-23 | other      | out       |   76 |      3909153
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-23 | refund     | out       |    2 |       140400
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-23 | sale       | in        |  366 |     28274400
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-24 | bonus      | in        |  662 |     13174130
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-24 | bonus      | out       |    3 |       110243
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-24 | commission | in        |    2 |       102195
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-24 | commission | out       |  374 |     11645414
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-24 | fee        | in        |   13 |         6772
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-24 | fee        | out       | 1147 |      3865917
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-24 | other      | out       |   72 |      3607383
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-24 | refund     | out       |    2 |       227100
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-24 | sale       | in        |  374 |     28509612
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-25 | bonus      | in        |  547 |     10662076
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-25 | bonus      | out       |    1 |        60424
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-25 | commission | in        |    1 |        66105
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-25 | commission | out       |  295 |      9455590
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-25 | fee        | in        |    8 |         4904
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-25 | fee        | out       |  969 |      2988992
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-25 | other      | out       |   64 |      3065062
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-25 | refund     | out       |    1 |       146900
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-25 | sale       | in        |  295 |     23262000
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-26 | bonus      | in        |  408 |      8041661
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-26 | commission | out       |  226 |      7107819
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-26 | fee        | in        |   11 |         7052
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-26 | fee        | out       |  807 |      2433439
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-26 | other      | out       |   74 |      3952460
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-26 | sale       | in        |  226 |     17356500
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-27 | bonus      | in        |  588 |     10942657
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-27 | bonus      | out       |    4 |       119877
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-27 | commission | in        |    2 |       114221
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-27 | commission | out       |  323 |      9910333
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-27 | fee        | in        |   13 |         8029
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-27 | fee        | out       | 1057 |      3230072
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-27 | other      | out       |  118 |      4470450
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-27 | refund     | out       |    2 |       262500
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-27 | sale       | in        |  323 |     24621300
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-28 | bonus      | in        |  493 |     10053154
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-28 | bonus      | out       |    2 |        42295
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-28 | commission | in        |    1 |        37890
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-28 | commission | out       |  276 |      9034207
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-28 | fee        | in        |   12 |         7117
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-28 | fee        | out       |  932 |      2713618
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-28 | other      | out       |  146 |      6087134
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-28 | refund     | out       |    1 |        84200
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-28 | sale       | in        |  276 |     22017300
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-29 | bonus      | in        |  574 |     11024238
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-29 | bonus      | out       |    8 |       143108
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-29 | commission | in        |    4 |       144110
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-29 | commission | out       |  312 |      9714010
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-29 | fee        | in        |   16 |        10490
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-29 | fee        | out       | 1235 |      3208146
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-29 | other      | out       |  145 |      9661488
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-29 | refund     | out       |    4 |       353300
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-29 | sale       | in        |  312 |     23885100
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-30 | bonus      | in        |  643 |     12751462
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-30 | bonus      | out       |    4 |        10012
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-30 | commission | in        |    2 |         8000
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-30 | commission | out       |  350 |     10627803
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-30 | fee        | in        |   13 |         8078
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-30 | fee        | out       | 1299 |      3554840
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-30 | other      | out       |   99 |      8218304
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-30 | refund     | out       |    2 |        40000
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-30 | sale       | in        |  350 |     25810500
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-31 | bonus      | in        |  829 |     18232089
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-31 | bonus      | out       |    2 |        83638
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-31 | commission | in        |    1 |        69480
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-31 | commission | out       |  461 |     14843295
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-31 | fee        | in        |   20 |        14947
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-31 | fee        | out       | 1634 |      4514933
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-31 | other      | in        |    3 |       553812
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-31 | other      | out       |  101 |     10461582
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-31 | refund     | out       |    1 |       154400
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-31 | sale       | in        |  461 |     35588400
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-08-01 | bonus      | in        |  869 |     19407560
